source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Athtrition.com'}",,ビタミンDで身長は伸びる？骨への効果とサプリの注意点 - アストリション,ビタミンDはカルシウムの吸収を助けるはたらきがあり、身体の成長には欠かせない栄養素です。ここではビタミンDで身長が伸びる効果はあるのかや、サプリメントの注意点について解説します。,https://athtrition.com/240311/,https://athtrition.com/wp/wp-content/uploads/2024/03/240311.png,2024-03-11T08:23:40Z,600BC FMHighlight Friday/ //FBC
"{'id': None, 'name': 'Dime.jp'}",Shogakukan Inc.,幼少期に食べ物に強く反応する子は摂食障害のリスクが高い可能性、英国・オランダのコホート研究｜ - @DIME,幼少期に食べ物に強く反応する子は摂食障害のリスクが高い幼少期の食べ物に対する関心の強さと、その子どもが10代前半になった時の摂食障害のリスクとの関連性を示すデータが報告された。英ユニバーシティ・カ...,https://dime.jp/genre/1747339/,https://dime.jp/genre/files/2024/03/33db55949e9774f7b42d55305198e5ee-770x433.jpg,2024-03-11T07:00:29Z,
"{'id': None, 'name': 'Qlifepro.com'}",,アレルギー性鼻炎と思って受診した患者の約50％に慢性副鼻腔炎？米国の診断実態とは - QLifePro医療ニュース,実際には慢性副鼻腔炎（chronic rhinosinusitis；CRS）に罹患しているにもかかわらず、アレルギー性鼻炎と誤診され、CRSにはほとんど効果のない抗アレルギー薬を使用し続けている米国人,https://www.qlifepro.com/news/20240311/chronic-rhinosinusitis.html,https://www.qlifepro.com/wp-content/uploads/2024/03/hdn_240311.jpg,2024-03-11T07:00:00Z,
"{'id': None, 'name': 'Prtimes.jp'}",,約6割以上の難聴者が、難聴が原因で日常生活でストレス・孤独感など大きな影響を受けている 難聴者の治療実態と生活に関する意識調査 - PR TIMES,一般社団法人 日本ウェルリビング推進機構のプレスリリース（2024年3月11日 15時00分）約6割以上の難聴者が、難聴が原因で日常生活でストレス・孤独感など大きな影響を受けている　難聴者の治療実態と生活に関する意識調査,https://prtimes.jp/main/html/rd/p/000000001.000138946.html,https://prcdn.freetls.fastly.net/release_image/138946/1/138946-1-f0cd0ef9d004ce8cbcd0c2fc9e984f34-1254x634.png?format=jpeg&auto=webp&fit=bounds&width=1200&height=630,2024-03-11T06:00:06Z,"3
38.5
34.8
333.8
60
60
110.2875.1
1.1
659.1
774.7
659.
12501
1JapanTrak 2022
2024131() 2024202() 
2060618
347271
2100
138.5237.7336.4434.81
1
360
766.2333.83
2035.73030.9%4031.7… [+247 chars]"
"{'id': None, 'name': 'Biglobe.ne.jp'}",PR TIMES,新感覚のお酒のサプリ。健康志向の大人女子が注目すべき“コーンオリゴペプチド”とは？（2024年3月11日）｜BIGLOBEニュース - BIGLOBEニュース,身体に優しいお酒のサプリ「アサラック」を販売する株式会社ケイネックスが、主成分「コーンオリゴペプチド」の可能性について調査しました。コロナも明け始め、自粛されていた飲み会が徐…｜BIGLOBEニュース,https://news.biglobe.ne.jp/economy/0311/prt_240311_5571437783.html,https://news.biglobe.ne.jp/economy/0311/5571437783/d91925-2-0f980c45bb69438c740b-0_thum800.jpg,2024-03-11T05:47:16Z,"[1: https://prtimes.jp/i/91925/2/resize/d91925-2-666c1bda033f1a21988e-1.jpg ]
[2: https://prtimes.jp/i/91925/2/resize/d91925-2-0f980c45bb69438c740b-0.jpg ]
(cop)18Ab0 
(BCAA: ) 
10Ab0100%Ab0 
[3… [+151 chars]"
"{'id': None, 'name': 'Infomart.co.jp'}",,あなたやご家族は対策出来ていますか？ 防災対策不足と感じる糖尿病患者と家族は半数以上 | フーズチャネル - インフォマート,"糖尿病患者とそのご家族の防災対策についての調査を実施しました。

全国各地でいつ発生するか分からない自然災害。その自然災害に直面した際、十分な対策が出来ているでしょうか。糖尿病に関わるすべての人の課題を解決することを目指す私たち「株式会社D",https://foods-ch.infomart.co.jp/news/72726,/static/images/ogp.png,2024-03-11T05:16:00Z,"Dear Me(41)
40%
100%
202421729
41
info@dearme.co.jp
128 211 11164%
(1)40~60%1 2021 https://www.mlit.go.jp/hakusyo/mlit/r02/hakusho/r03/html/n1224000.html
70
100%
100%1
()5GI3inPRO
(WEB)
… [+115 chars]"
"{'id': None, 'name': 'Livedoor.com'}",オトナンサー,ダイドードリンコ、無糖炭酸水「和ノチカラ」2種リニューアル マグネシウム、ビタミンD配合 - ライブドアニュース - livedoor,ダイドードリンコ（大阪市）が、マグネシウムやビタミンDなどを補給できる栄養機能食品「和ノチカラ」シリーズ2種類のリニューアル商品を3月11日から発売。リニューアル発売されるのは、「和ノチカラ 有機レモン,https://news.livedoor.com/article/detail/26024973/,https://image.news.livedoor.com/newsimage/stf/9/c/9c9ce_1589_f787db9d_303197e6.jpg,2024-03-11T03:10:00Z,
"{'id': None, 'name': 'Keio.ac.jp'}",,医師と患者のコミュニケーションギャップを埋める患者報告アウトカムの活用を－より患者のニーズに沿った治療の提案が可能に－：[慶應義塾] - Keio University,2024/03/11慶應義塾大学医学部慶應義塾大学医学部内科学（循環器）教室の池村修寛研究員、香坂俊専任講師、高月誠司准教授、家田真樹教授らは、慶應義塾大学病院および関連病院の心房細動患者、そして担当,https://www.keio.ac.jp/ja/press-releases/2024/3/11/28-157411/,https://www.keio.ac.jp/ja/assets/common/images/ogp/01.png,2024-03-11T02:10:37Z,"Patient-Reported Outcome: PROPrecision Medicine
2024223 JAMA Network Open"
"{'id': None, 'name': 'Hani.co.kr'}",한겨레,超加工食品の過剰摂取は３２種類の病気への「近道」…韓国人の食生活では２５％ - The Hankyoreh japan,3年間に発表された研究の総合分析の結果　心臓疾患・糖尿などの危険と直接関連　「タバコのように寿命短縮などを包装に表記すべき」,https://japan.hani.co.kr/arti/culture/49400.html,https://img.hani.co.kr/imgdb/japan/news/resize/2024/0311/171011895857_20240311.JPG,2024-03-11T01:04:00Z,"NOVA4
UPFs
581025
3BMJ
145232
50
504853212
212406622
2009BMJ
*
https://doi.org/10.1136/bmj-2023-077310
Ultra-processed food exposure and adverse health outcomes: umbrella review of epidemi… [+22 chars]"
"{'id': None, 'name': 'Qlifepro.com'}",,たばこ煙や排気ガス含有のMVK、低濃度慢性暴露での毒性メカニズムを解明－岡山大ほか - QLifePro医療ニュース,岡山大学は、メチルビニルケトン（MVK）が、タンパク質ホスファチジルイノシトール3-キナーゼ（PI3K）の制御サブユニットのシステイン残基に共有結合することで受容体との結合を阻害することを明らかにした,https://www.qlifepro.com/news/20240311/mvk.html,https://www.qlifepro.com/wp-content/uploads/2024/03/11_07.png,2024-03-11T00:20:00Z,
